"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"129","3","GO Process","","regulation of signal transduction by p53 class mediator","0.0028","EP300|PMAIP1|AKT1","16949","1264|171|650","3.6E-4","","GO.1901796","0.2924834602646073","0"
"941","6","GO Process","","positive regulation of protein phosphorylation","0.0028","SOX9|FGF2|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|621|128|1085|225|650","3.6E-4","","GO.0001934","0.2924834602646073","0"
"323","4","GO Process","","response to acid chemical","0.0028","SOX9|SESN2|FOXO1|AKT1","16949","367|342|1426|650","3.6E-4","","GO.0001101","0.2924834602646073","0"
"323","4","GO Process","","MAPK cascade","0.0028","SOX9|FGF2|MAPKAPK3|ERN1","16949","367|621|128|1085","3.6E-4","","GO.0000165","0.2924834602646073","0"
"953","6","GO Process","","negative regulation of cell death","0.0029","SOX9|APOE|FGF2|ATF4|FOXO1|AKT1","16949","367|543|621|731|1426|650","3.9E-4","","GO.0060548","0.2907373912922397","0"
"2926","10","GO Process","","animal organ development","0.0029","SOX9|MKNK2|EP300|FGF2|PPP1CA|CASP9|FOXO1|ERO1L|PGF|AKT1","16949","367|226|1264|621|1120|304|1426|605|946|650","4.0E-4","","GO.0048513","0.2907373912922397","0"
"133","3","GO Process","","negative regulation of cellular amide metabolic process","0.0029","APOE|SESN2|ATF4","16949","543|342|731","4.0E-4","","GO.0034249","0.2907373912922397","0"
"26","2","GO Process","","regulation of fibroblast migration","0.0029","FGF2|AKT1","16949","621|650","4.1E-4","","GO.0010762","0.2907373912922397","0"
"1826","8","GO Process","","positive regulation of gene expression","0.0029","SOX9|SESN2|EP300|FGF2|ATF4|FOXO1|ERN1|AKT1","16949","367|342|1264|621|731|1426|1085|650","3.9E-4","","GO.0010628","0.2907373912922397","0"
"196","4","NetworkNeighborAL","","mixed, incl. regulation of TOR signaling, and MAPK targets/ Nuclear events mediated by MAP kinases","0.003","SESN2|FOXO1|MAPKAPK3|AKT1","16949","342|1426|128|650","5.51E-5","","CL.2190","0.2890505226359911","0"
"6","2","NetworkNeighborAL","","positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress","0.003","ATF4|ERN1","16949","731|1085","3.05E-5","","CL.14198","0.2890505226359911","0"
"135","3","GO Process","","positive regulation of lipid metabolic process","0.003","APOE|FGF2|AKT1","16949","543|621|650","4.1E-4","","GO.0045834","0.2890505226359911","0"
"337","4","GO Process","","regulation of MAP kinase activity","0.003","APOE|FGF2|MAPKAPK3|ERN1","16949","543|621|128|1085","4.3E-4","","GO.0043405","0.2890505226359911","0"
"615","5","GO Process","","tube morphogenesis","0.003","SOX9|APOE|FGF2|PPP1CA|PGF","16949","367|543|621|1120|946","4.2E-4","","GO.0035239","0.2890505226359911","0"
"1846","8","GO Process","","positive regulation of cellular biosynthetic process","0.003","SOX9|SESN2|EP300|FGF2|ATF4|FOXO1|PRMT1|AKT1","16949","367|342|1264|621|731|1426|225|650","4.2E-4","","GO.0031328","0.2890505226359911","0"
"136","3","GO Process","","positive regulation of epithelial cell migration","0.003","SOX9|FGF2|AKT1","16949","367|621|650","4.2E-4","","GO.0010634","0.2890505226359911","0"
"181","3","KEGG Pathways","","Herpes simplex infection","0.0031","EP300|PPP1CA|PPP1CC","16949","1264|1120|442","9.6E-4","","hsa05168","0.2874189712281621","0"
"340","4","GO Process","","positive regulation of protein serine/threonine kinase activity","0.0031","FGF2|MAPKAPK3|ERN1|AKT1","16949","621|128|1085|650","4.4E-4","","GO.0071902","0.2874189712281621","0"
"339","4","GO Process","","extracellular structure organization","0.0031","SOX9|APOE|FGF2|ERO1L","16949","367|543|621|605","4.4E-4","","GO.0043062","0.2874189712281621","0"
"27","2","GO Process","","negative regulation of lipid transport","0.0031","APOE|AKT1","16949","543|650","4.4E-4","","GO.0032369","0.2874189712281621","0"
"343","4","GO Process","","positive regulation of cellular catabolic process","0.0031","APOE|SESN2|FOXO1|AKT1","16949","543|342|1426|650","4.6E-4","","GO.0031331","0.2874189712281621","0"
"339","4","GO Process","","response to metal ion","0.0031","PPP1CA|CASP9|ATF4|AKT1","16949","1120|304|731|650","4.4E-4","","GO.0010038","0.2874189712281621","0"
"1859","8","GO Process","","catabolic process","0.0031","APOE|SESN2|FGF2|PMAIP1|FOXO1|CHAC1|ERN1|AKT1","16949","543|342|621|171|1426|975|1085|650","4.4E-4","","GO.0009056","0.2874189712281621","0"
"183","3","KEGG Pathways","","Viral carcinogenesis","0.0032","EP300|PMAIP1|ATF4","16949","1264|171|731","9.9E-4","","hsa05203","0.2858392239476866","0"
"28","2","GO Process","","negative regulation of anion transport","0.0032","APOE|AKT1","16949","543|650","4.7E-4","","GO.1903792","0.2858392239476866","0"
"988","6","GO Process","","response to nitrogen compound","0.0032","SOX9|SESN2|PMAIP1|ATF4|FOXO1|AKT1","16949","367|342|171|731|1426|650","4.7E-4","","GO.1901698","0.2858392239476866","0"
"28","2","GO Process","","cellular response to dexamethasone stimulus","0.0032","CASP9|FOXO1","16949","304|1426","4.7E-4","","GO.0071549","0.2858392239476866","0"
"347","4","GO Process","","activation of protein kinase activity","0.0032","FGF2|MAPKAPK3|ERN1|AKT1","16949","621|128|1085|650","4.8E-4","","GO.0032147","0.2858392239476866","0"
"12","2","NetworkNeighborAL","","protein phosphatase type 1 complex, and ribonuclease E activity","0.0033","PPP1CA|PPP1CC","16949","1120|442","9.89E-5","","CL.3197","0.2843080920690546","0"
"143","3","GO Process","","negative regulation of ion transport","0.0033","APOE|ATF4|AKT1","16949","543|731|650","4.9E-4","","GO.0043271","0.2843080920690546","0"
"29","2","GO Process","","regulation of glycogen biosynthetic process","0.0033","PPP1CA|AKT1","16949","1120|650","5.0E-4","","GO.0005979","0.2843080920690546","0"
"19","2","GO Function","","protein phosphatase 1 binding","0.0035","PPP1CA|PPP1CC","16949","1120|442","2.3E-4","","GO.0008157","0.28138031471667224","0"
"148","3","GO Process","","regulation of G1/S transition of mitotic cell cycle","0.0035","EP300|PRMT1|AKT1","16949","1264|225|650","5.4E-4","","GO.2000045","0.28138031471667224","0"
"1014","6","GO Process","","negative regulation of cellular protein metabolic process","0.0035","APOE|SESN2|ATF4|FOXO1|CHAC1|AKT1","16949","543|342|731|1426|975|650","5.4E-4","","GO.0032269","0.28138031471667224","0"
"3661","11","GO Process","","regulation of transcription, DNA-templated","0.0035","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|ATF4|FOXO1|ERN1|PRMT1|AKT1","16949","367|697|543|342|1264|621|731|1426|1085|225|650","5.4E-4","","GO.0006355","0.28138031471667224","0"
"1112","7","Reactome Pathways","","Generic Transcription Pathway","0.0035","SOX9|APOE|SESN2|EP300|PMAIP1|PRMT1|AKT1","16949","367|543|342|1264|171|225|650","1.1E-4","","HSA-212436","0.28138031471667224","0"
"149","3","GO Process","","activation of MAPK activity","0.0036","FGF2|MAPKAPK3|ERN1","16949","621|128|1085","5.5E-4","","GO.0000187","0.27997859216931636","0"
"14","2","Reactome Pathways","","AKT phosphorylates targets in the cytosol","0.0036","CASP9|AKT1","16949","304|650","1.3E-4","","HSA-198323","0.27997859216931636","0"
"242","4","Reactome Pathways","","PIP3 activates AKT signaling","0.0036","FGF2|CASP9|FOXO1|AKT1","16949","621|304|1426|650","1.2E-4","","HSA-1257604","0.27997859216931636","0"
"31","2","GO Process","","extrinsic apoptotic signaling pathway in absence of ligand","0.0037","MKNK2|CASP9","16949","226|304","5.7E-4","","GO.0097192","0.27861527785221835","0"
"31","2","GO Process","","hyaluronan metabolic process","0.0037","FGF2|AKT1","16949","621|650","5.7E-4","","GO.0030212","0.27861527785221835","0"
"32","2","GO Process","","positive regulation of vascular smooth muscle cell proliferation","0.0038","FGF2|ERN1","16949","621|1085","6.0E-4","","GO.1904707","0.2772883229520313","0"
"32","2","GO Process","","regulation of transcription from RNA polymerase II promoter in response to hypoxia","0.0038","EGLN3|EP300","16949","697|1264","6.0E-4","","GO.0061418","0.2772883229520313","0"
"32","2","GO Process","","negative regulation of blood vessel endothelial cell migration","0.0038","APOE|FGF2","16949","543|621","6.0E-4","","GO.0043537","0.2772883229520313","0"
"155","3","GO Process","","response to temperature stimulus","0.0039","FOXO1|ERO1L|AKT1","16949","1426|605|650","6.2E-4","","GO.0009266","0.2759958383405997","0"
"158","3","GO Process","","regulation of extrinsic apoptotic signaling pathway","0.004","PPP1CA|PMAIP1|AKT1","16949","1120|171|650","6.5E-4","","GO.2001236","0.2747360783997515","0"
"33","2","GO Process","","triglyceride homeostasis","0.004","APOE|SESN2","16949","543|342","6.4E-4","","GO.0070328","0.2747360783997515","0"
"158","3","GO Process","","negative regulation of MAPK cascade","0.004","APOE|FOXO1|AKT1","16949","543|1426|650","6.5E-4","","GO.0043409","0.2747360783997515","0"
"33","2","GO Process","","T cell homeostasis","0.004","PMAIP1|AKT1","16949","171|650","6.4E-4","","GO.0043029","0.2747360783997515","0"
"157","3","GO Process","","regulation of macroautophagy","0.004","SESN2|ERN1|AKT1","16949","342|1085|650","6.4E-4","","GO.0016241","0.2747360783997515","0"
"203","3","KEGG Pathways","","Rap1 signaling pathway","0.0041","FGF2|PGF|AKT1","16949","621|946|650","0.0013","","hsa04015","0.2735074268436794","0"
"1055","6","GO Process","","epithelium development","0.0041","SOX9|EP300|FGF2|PPP1CA|PGF|AKT1","16949","367|1264|621|1120|946|650","6.7E-4","","GO.0060429","0.2735074268436794","0"
"205","3","KEGG Pathways","","Regulation of actin cytoskeleton","0.0042","FGF2|PPP1CA|PPP1CC","16949","621|1120|442","0.0014","","hsa04810","0.2723083842499975","0"
"4454","12","GO Process","","negative regulation of cellular process","0.0042","SOX9|APOE|SESN2|EP300|FGF2|ATF4|FOXO1|ERO1L|CHAC1|ERN1|PRMT1|AKT1","16949","367|543|342|1264|621|731|1426|605|975|1085|225|650","7.0E-4","","GO.0048523","0.2723083842499975","0"
"162","3","GO Process","","lung development","0.0042","SOX9|EP300|PPP1CA","16949","367|1264|1120","7.0E-4","","GO.0030324","0.2723083842499975","0"
"1992","8","GO Process","","anatomical structure morphogenesis","0.0042","SOX9|APOE|EP300|FGF2|PPP1CA|CASP9|FOXO1|PGF","16949","367|543|1264|621|1120|304|1426|946","7.0E-4","","GO.0009653","0.2723083842499975","0"
"1301","7","GO Function","","protein dimerization activity","0.0043","SOX9|APOE|GABBR2|ATF4|ERN1|PGF|AKT1","16949","367|543|102|731|1085|946|650","2.9E-4","","GO.0046983","0.2711375570581652","0"
"1073","6","GO Process","","cell-cell signaling","0.0043","APOE|GABBR2|FGF2|PPP1CA|PGF|AKT1","16949","543|102|621|1120|946|650","7.3E-4","","GO.0007267","0.2711375570581652","0"
"388","4","GO Process","","cellular calcium ion homeostasis","0.0043","APOE|FGF2|ATF4|ERO1L","16949","543|621|731|605","7.2E-4","","GO.0006874","0.2711375570581652","0"
"36","2","GO Process","","cellular response to vascular endothelial growth factor stimulus","0.0044","ERN1|AKT1","16949","1085|650","7.5E-4","","GO.0035924","0.269993647832815","0"
"1519","7","GO Process","","neurogenesis","0.0044","SOX9|APOE|ATF4|PPP1CC|CHAC1|PRMT1|AKT1","16949","367|543|731|442|975|225|650","7.5E-4","","GO.0022008","0.269993647832815","0"
"36","2","GO Process","","regulation of gluconeogenesis","0.0044","SESN2|FOXO1","16949","342|1426","7.5E-4","","GO.0006111","0.269993647832815","0"
"87","3","UniProt Keywords","","Heparin-binding","0.0045","APOE|FGF2|PGF","16949","543|621|946","1.2E-4","","KW-0358","0.2688754466213813","0"
"13","2","InterPro Domains","","Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase","0.0046","PPP1CA|PPP1CC","16949","1120|442","1.1E-4","","IPR006186","0.2677818232616839","0"
"37","2","GO Process","","positive regulation of response to endoplasmic reticulum stress","0.0046","PMAIP1|ERN1","16949","171|1085","7.9E-4","","GO.1905898","0.2677818232616839","0"
"18","2","Reactome Pathways","","TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest","0.0049","EP300|PRMT1","16949","1264|225","2.1E-4","","HSA-6804114","0.2646381763306786","0"
"106","3","Reactome Pathways","","Interleukin-4 and Interleukin-13 signaling","0.0049","FGF2|FOXO1|AKT1","16949","621|1426|650","2.1E-4","","HSA-6785807","0.2646381763306786","0"
"104","3","Reactome Pathways","","Signaling by VEGF","0.0049","MAPKAPK3|PGF|AKT1","16949","128|946|650","2.0E-4","","HSA-194138","0.2646381763306786","0"
"106","3","NetworkNeighborAL","","mixed, incl. regulation of TOR signaling, and Translocation of SLC2A4 (GLUT4) to the plasma membrane","0.0051","SESN2|FOXO1|AKT1","16949","342|1426|650","2.1E-4","","CL.2191","0.26264759649857633","0"
"2065","8","GO Process","","phosphate-containing compound metabolic process","0.0051","SOX9|MKNK2|FGF2|PPP1CA|PPP1CC|MAPKAPK3|ERN1|AKT1","16949","367|226|621|1120|442|128|1085|650","8.9E-4","","GO.0006796","0.26264759649857633","0"
"131","3","GO Function","","growth factor receptor binding","0.0052","FGF2|ERN1|PGF","16949","621|1085|946","3.8E-4","","GO.0070851","0.26168139410436014","0"
"40","2","GO Process","","cellular response to epidermal growth factor stimulus","0.0052","SOX9|AKT1","16949","367|650","9.2E-4","","GO.0071364","0.26168139410436014","0"
"2633","9","GO Process","","regulation of transcription by RNA polymerase II","0.0052","SOX9|EGLN3|APOE|SESN2|EP300|FGF2|ATF4|FOXO1|AKT1","16949","367|697|543|342|1264|621|731|1426|650","9.2E-4","","GO.0006357","0.26168139410436014","0"
"742","5","GO Process","","positive regulation of hydrolase activity","0.0054","EGLN3|FGF2|PMAIP1|CASP9|AKT1","16949","697|621|171|304|650","9.7E-4","","GO.0051345","0.2598035161547065","0"
"58","2","KEGG Pathways","","Endometrial cancer","0.0055","CASP9|AKT1","16949","304|650","0.0019","","hsa05213","0.2588905022848799","0"
"228","3","KEGG Pathways","","Ras signaling pathway","0.0055","FGF2|PGF|AKT1","16949","621|946|650","0.0018","","hsa04014","0.2588905022848799","0"
"185","3","GO Process","","cellular response to inorganic substance","0.0056","ATF4|FOXO1|AKT1","16949","731|1426|650","0.001","","GO.0071241","0.25799394001375786","0"
"42","2","GO Process","","negative regulation of stress-activated MAPK cascade","0.0056","FOXO1|AKT1","16949","1426|650","0.001","","GO.0032873","0.25799394001375786","0"
"185","3","GO Process","","cellular modified amino acid metabolic process","0.0056","EGLN3|ERO1L|CHAC1","16949","697|605|975","0.001","","GO.0006575","0.25799394001375786","0"
"1609","7","GO Process","","organic substance catabolic process","0.0057","APOE|SESN2|FGF2|PMAIP1|CHAC1|ERN1|AKT1","16949","543|342|621|171|975|1085|650","0.0011","","GO.1901575","0.25711324693742144","0"
"753","5","GO Process","","regulation of cell migration","0.0057","SOX9|APOE|FGF2|PGF|AKT1","16949","367|543|621|946|650","0.001","","GO.0030334","0.25711324693742144","0"
"61","2","KEGG Pathways","","Longevity regulating pathway - multiple species","0.0058","FOXO1|AKT1","16949","1426|650","0.0021","","hsa04213","0.25624787104139024","0"
"189","3","GO Process","","response to reactive oxygen species","0.0058","APOE|FOXO1|AKT1","16949","543|1426|650","0.0011","","GO.0000302","0.25624787104139024","0"
"44","2","GO Process","","negative regulation of oxidative stress-induced cell death","0.0059","ATF4|AKT1","16949","731|650","0.0011","","GO.1903202","0.2553972886224498","0"
"191","3","GO Process","","negative regulation of neuron death","0.0059","APOE|ATF4|AKT1","16949","543|731|650","0.0011","","GO.1901215","0.2553972886224498","0"
"1160","6","GO Process","","negative regulation of signal transduction","0.0059","SOX9|APOE|SESN2|FOXO1|CHAC1|AKT1","16949","367|543|342|1426|975|650","0.0011","","GO.0009968","0.2553972886224498","0"
"29","2","GO Function","","protein phosphatase 2A binding","0.006","FOXO1|AKT1","16949","1426|650","5.0E-4","","GO.0051721","0.2545610023851416","0"
"28","2","GO Function","","mitogen-activated protein kinase binding","0.006","MAPKAPK3|PRMT1","16949","128|225","4.7E-4","","GO.0051019","0.2545610023851416","0"
"28","2","GO Function","","calmodulin-dependent protein kinase activity","0.006","MKNK2|MAPKAPK3","16949","226|128","4.7E-4","","GO.0004683","0.2545610023851416","0"
"1626","7","GO Process","","tissue development","0.006","SOX9|EP300|FGF2|PPP1CA|FOXO1|PGF|AKT1","16949","367|1264|621|1120|1426|946|650","0.0011","","GO.0009888","0.2545610023851416","0"
"45","2","GO Process","","regulation of release of cytochrome c from mitochondria","0.0061","PMAIP1|AKT1","16949","171|650","0.0011","","GO.0090199","0.2537385396955897","0"
"193","3","GO Process","","homeostasis of number of cells","0.0061","SOX9|PMAIP1|AKT1","16949","367|171|650","0.0011","","GO.0048872","0.2537385396955897","0"
"45","2","GO Process","","cellular response to amino acid starvation","0.0061","SESN2|ATF4","16949","342|731","0.0011","","GO.0034198","0.2537385396955897","0"
"24","2","Reactome Pathways","","Triglyceride catabolism","0.0061","PPP1CA|PPP1CC","16949","1120|442","3.5E-4","","HSA-163560","0.2537385396955897","0"
"195","3","GO Process","","cellular response to toxic substance","0.0062","APOE|SESN2|FOXO1","16949","543|342|1426","0.0012","","GO.0097237","0.2529294509773126","0"
"25","2","Reactome Pathways","","Downregulation of TGF-beta receptor signaling","0.0062","PPP1CA|PPP1CC","16949","1120|442","3.8E-4","","HSA-2173788","0.2529294509773126","0"
"196","3","GO Process","","cellular response to acid chemical","0.0063","SOX9|SESN2|AKT1","16949","367|342|650","0.0012","","GO.0071229","0.2521333082353876","0"
"46","2","GO Process","","release of sequestered calcium ion into cytosol","0.0063","FGF2|ERO1L","16949","621|605","0.0012","","GO.0051209","0.2521333082353876","0"
"1646","7","GO Process","","cellular catabolic process","0.0063","APOE|SESN2|FGF2|PMAIP1|FOXO1|CHAC1|ERN1","16949","543|342|621|171|1426|975|1085","0.0012","","GO.0044248","0.2521333082353876","0"
"46","2","GO Process","","sprouting angiogenesis","0.0063","FGF2|PGF","16949","621|946","0.0012","","GO.0002040","0.2521333082353876","0"
"452","4","GO Process","","positive regulation of cell migration","0.0065","SOX9|FGF2|PGF|AKT1","16949","367|621|946|650","0.0013","","GO.0030335","0.250578248556425","0"
"66","2","KEGG Pathways","","Non-small cell lung cancer","0.0066","CASP9|AKT1","16949","304|650","0.0024","","hsa05223","0.2498185718182051","0"
"250","3","KEGG Pathways","","HTLV-I infection","0.0066","EP300|ATF4|AKT1","16949","1264|731|650","0.0024","","hsa05166","0.2498185718182051","0"
"7","2","GO Component","","PTW/PP1 phosphatase complex","0.0067","PPP1CA|PPP1CC","16949","1120|442","3.92E-5","","GO.0072357","0.24907031922418155","0"
"48","2","GO Process","","positive regulation of anion transport","0.0067","APOE|ATF4","16949","543|731","0.0013","","GO.1903793","0.24907031922418155","0"
"48","2","GO Process","","execution phase of apoptosis","0.0067","CASP9|AKT1","16949","304|650","0.0013","","GO.0097194","0.24907031922418155","0"
"48","2","GO Process","","positive regulation of organ growth","0.0067","FGF2|AKT1","16949","621|650","0.0013","","GO.0046622","0.24907031922418155","0"
"457","4","GO Process","","carbohydrate metabolic process","0.0067","PPP1CA|ATF4|PPP1CC|AKT1","16949","1120|731|442|650","0.0013","","GO.0005975","0.24907031922418155","0"
"49","2","GO Process","","regulation of extrinsic apoptotic signaling pathway in absence of ligand","0.0068","PPP1CA|AKT1","16949","1120|650","0.0014","","GO.2001239","0.24833315226233674","0"
"49","2","GO Process","","positive regulation of neuron apoptotic process","0.0068","CASP9|ATF4","16949","304|731","0.0014","","GO.0043525","0.24833315226233674","0"
"11","2","GO Component","","protein phosphatase type 1 complex","0.0072","PPP1CA|PPP1CC","16949","1120|442","8.48E-5","","GO.0000164","0.24548907191846686","0"
"51","2","GO Process","","positive regulation of extrinsic apoptotic signaling pathway","0.0072","PPP1CA|PMAIP1","16949","1120|171","0.0015","","GO.2001238","0.24548907191846686","0"
"468","4","GO Process","","response to toxic substance","0.0072","APOE|SESN2|ATF4|FOXO1","16949","543|342|731|1426","0.0014","","GO.0009636","0.24548907191846686","0"
"161","3","GO Function","","heparin binding","0.0075","APOE|FGF2|PGF","16949","543|621|946","6.9E-4","","GO.0008201","0.24345785683720658","0"
"72","2","KEGG Pathways","","Melanoma","0.0075","FGF2|AKT1","16949","621|650","0.0028","","hsa05218","0.24345785683720658","0"
"213","3","GO Process","","response to insulin","0.0075","SESN2|FOXO1|AKT1","16949","342|1426|650","0.0015","","GO.0032868","0.24345785683720658","0"
"52","2","GO Process","","epidermal growth factor receptor signaling pathway","0.0075","SOX9|AKT1","16949","367|650","0.0015","","GO.0007173","0.24345785683720658","0"
"29","2","Reactome Pathways","","Activation of BH3-only proteins","0.0075","PMAIP1|AKT1","16949","171|650","5.0E-4","","HSA-114452","0.24345785683720658","0"
"477","4","GO Process","","cellular response to growth factor stimulus","0.0076","SOX9|FGF2|ERN1|AKT1","16949","367|621|1085|650","0.0015","","GO.0071363","0.24279880270118184","0"
"825","5","GO Process","","response to lipid","0.0076","SOX9|CASP9|FOXO1|MAPKAPK3|AKT1","16949","367|304|1426|128|650","0.0016","","GO.0033993","0.24279880270118184","0"
"74","2","KEGG Pathways","","Pancreatic cancer","0.0077","CASP9|AKT1","16949","304|650","0.003","","hsa05212","0.24214836389888625","0"
"53","2","GO Process","","regulation of morphogenesis of a branching structure","0.0077","SOX9|PGF","16949","367|946","0.0016","","GO.0060688","0.24214836389888625","0"
"53","2","GO Process","","somatic stem cell population maintenance","0.0077","SOX9|FGF2","16949","367|621","0.0016","","GO.0035019","0.24214836389888625","0"
"30","2","Reactome Pathways","","Regulation of TP53 Activity through Acetylation","0.0077","EP300|AKT1","16949","1264|650","5.3E-4","","HSA-6804758","0.24214836389888625","0"
"486","4","GO Process","","cellular response to lipid","0.008","SOX9|CASP9|FOXO1|AKT1","16949","367|304|1426|650","0.0017","","GO.0071396","0.24024655814890203","0"
"55","2","GO Process","","positive regulation of blood vessel endothelial cell migration","0.0081","FGF2|AKT1","16949","621|650","0.0017","","GO.0043536","0.23962844014009663","0"
"310","4","InterPro Domains","","Serine/threonine-protein kinase, active site","0.0084","MKNK2|MAPKAPK3|ERN1|AKT1","16949","226|128|1085|650","3.1E-4","","IPR008271","0.237818863999148","0"
"78","2","KEGG Pathways","","EGFR tyrosine kinase inhibitor resistance","0.0084","FGF2|AKT1","16949","621|650","0.0033","","hsa01521","0.237818863999148","0"
"499","4","GO Process","","positive regulation of response to external stimulus","0.0086","EP300|FGF2|MAPKAPK3|PGF","16949","1264|621|128|946","0.0018","","GO.0032103","0.23664803680731572","0"
"854","5","GO Process","","response to hormone","0.0086","SESN2|CASP9|FOXO1|PGF|AKT1","16949","342|304|1426|946|650","0.0018","","GO.0009725","0.23664803680731572","0"
"2307","8","GO Process","","negative regulation of nitrogen compound metabolic process","0.0087","SOX9|APOE|SESN2|EP300|ATF4|FOXO1|CHAC1|AKT1","16949","367|543|342|1264|731|1426|975|650","0.0018","","GO.0051172","0.23607279502678033","0"
"6892","16","GO Component","","nucleus","0.0088","SOX9|EGLN3|MKNK2|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|MAPKAPK3|ERN1|PRMT1|AKT1","16949","367|697|226|342|1264|621|1120|171|304|731|442|1426|128|1085|225|650","1.6E-4","","GO.0005634","0.2355041275819655","0"
"27","2","InterPro Domains","","Metallo-dependent phosphatase-like","0.0088","PPP1CA|PPP1CC","16949","1120|442","4.4E-4","","IPR029052","0.2355041275819655","0"
"28","2","InterPro Domains","","Calcineurin-like phosphoesterase domain, ApaH type","0.0088","PPP1CA|PPP1CC","16949","1120|442","4.7E-4","","IPR004843","0.2355041275819655","0"
"58","2","GO Process","","intrinsic apoptotic signaling pathway by p53 class mediator","0.0088","EP300|PMAIP1","16949","1264|171","0.0019","","GO.0072332","0.2355041275819655","0"
"505","4","GO Process","","cellular response to organic cyclic compound","0.0089","CASP9|ATF4|FOXO1|AKT1","16949","304|731|1426|650","0.0019","","GO.0071407","0.23494188589551546","0"
"1779","7","GO Process","","small molecule metabolic process","0.0089","EGLN3|APOE|SESN2|FGF2|ATF4|ERO1L|AKT1","16949","697|543|342|621|731|605|650","0.0019","","GO.0044281","0.23494188589551546","0"
"865","5","GO Process","","animal organ morphogenesis","0.0089","SOX9|EP300|FGF2|FOXO1|PGF","16949","367|1264|621|1426|946","0.0019","","GO.0009887","0.23494188589551546","0"
"59","2","GO Process","","DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest","0.0089","EP300|PRMT1","16949","1264|225","0.0019","","GO.0006977","0.23494188589551546","0"
"34","2","Reactome Pathways","","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","0.009","APOE|EP300","16949","543|1264","6.7E-4","","HSA-8864260","0.23438592637053182","0"
"384","4","Reactome Pathways","","Cellular responses to stress","0.009","EGLN3|EP300|ERO1L|MAPKAPK3","16949","697|1264|605|128","6.9E-4","","HSA-2262752","0.23438592637053182","0"
"10365","19","GO Component","","intracellular membrane-bounded organelle","0.0091","SOX9|EGLN3|MKNK2|APOE|SESN2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|AKT1","16949","367|697|226|543|342|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|650","3.0E-4","","GO.0043231","0.2338361101704314","0"
"531","5","GO Component","","dendrite","0.0091","APOE|PPP1CA|ATF4|PPP1CC|ERO1L","16949","543|1120|731|442|605","2.1E-4","","GO.0030425","0.2338361101704314","0"
"3446","11","GO Component","","nucleoplasm","0.0091","SOX9|EGLN3|MKNK2|EP300|PPP1CA|ATF4|PPP1CC|FOXO1|MAPKAPK3|PRMT1|AKT1","16949","367|697|226|1264|1120|731|442|1426|128|225|650","3.1E-4","","GO.0005654","0.2338361101704314","0"
"514","4","GO Process","","negative regulation of intracellular signal transduction","0.0092","APOE|SESN2|FOXO1|AKT1","16949","543|342|1426|650","0.002","","GO.1902532","0.23329230301083445","0"
"512","4","GO Process","","positive regulation of MAPK cascade","0.0092","FGF2|MAPKAPK3|ERN1|PRMT1","16949","621|128|1085|225","0.002","","GO.0043410","0.23329230301083445","0"
"873","5","GO Process","","response to organic cyclic compound","0.0092","PMAIP1|CASP9|ATF4|FOXO1|AKT1","16949","171|304|731|1426|650","0.002","","GO.0014070","0.23329230301083445","0"
"60","2","GO Process","","apoptotic mitochondrial changes","0.0092","PMAIP1|AKT1","16949","171|650","0.002","","GO.0008637","0.23329230301083445","0"
"882","5","GO Process","","positive regulation of immune system process","0.0094","EP300|MAPKAPK3|PRMT1|PGF|AKT1","16949","1264|128|225|946|650","0.0021","","GO.0002684","0.23222220026600587","0"
"28","2","Pfam","","Calcineurin-like phosphoesterase","0.0096","PPP1CA|PPP1CC","16949","1120|442","4.7E-4","","PF00149","0.23117462768222727","0"
"42","2","GO Function","","protein serine/threonine/tyrosine kinase activity","0.0101","MAPKAPK3|AKT1","16949","128|650","0.001","","GO.0004712","0.22864830543312745","0"
"138","3","UniProt Keywords","","Biological rhythms","0.0101","EP300|ATF4|PPP1CC","16949","1264|731|442","4.4E-4","","KW-0090","0.22864830543312745","0"
"900","5","GO Process","","response to drug","0.0102","SOX9|CASP9|ATF4|FOXO1|PGF","16949","367|304|731|1426|946","0.0023","","GO.0042493","0.22815807624772685","0"
"14652","21","GO Process","","cellular process","0.0103","SOX9|EGLN3|MKNK2|APOE|SESN2|GABBR2|EP300|FGF2|PPP1CA|PMAIP1|CASP9|ATF4|PPP1CC|FOXO1|ERO1L|MAPKAPK3|CHAC1|ERN1|PRMT1|PGF|AKT1","16949","367|697|226|543|342|102|1264|621|1120|171|304|731|442|1426|605|128|975|1085|225|946|650","0.0023","","GO.0009987","0.22767262986233266","0"
